sampleId,group,field,extractedStatus,reviewStatus,evidence
amazon-11,blind,asin,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0DXF1K79Z___waiting_unt
amazon-11,blind,color,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0DXF1K79Z___waiting_unt
amazon-11,blind,size,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0DXF1K79Z___waiting_unt
amazon-11,blind,first_product_image,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0DXF1K79Z___waiting_unt
amazon-11,blind,product_dimensions,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0DXF1K79Z___waiting_unt
amazon-11,blind,material,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0DXF1K79Z___waiting_unt
amazon-11,blind,price,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0DXF1K79Z___waiting_unt
amazon-12,blind,asin,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0FXWZDK62___waiting_unt
amazon-12,blind,color,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0FXWZDK62___waiting_unt
amazon-12,blind,size,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0FXWZDK62___waiting_unt
amazon-12,blind,first_product_image,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0FXWZDK62___waiting_unt
amazon-12,blind,product_dimensions,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0FXWZDK62___waiting_unt
amazon-12,blind,material,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0FXWZDK62___waiting_unt
amazon-12,blind,price,not_collected,uncertain,COLLECTION_BLOCKED:page_goto__Timeout_30000ms_exceeded__Call_log____2m____navigating_to__https___www_amazon_com_dp_B0FXWZDK62___waiting_unt
amazon-13,blind,asin,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-13,blind,color,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-13,blind,size,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-13,blind,first_product_image,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-13,blind,product_dimensions,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-13,blind,material,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-13,blind,price,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-14,blind,asin,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-14,blind,color,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-14,blind,size,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-14,blind,first_product_image,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-14,blind,product_dimensions,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-14,blind,material,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
amazon-14,blind,price,not_collected,uncertain,COLLECTION_BLOCKED:AMAZON_CAPTCHA_INTERSTITIAL
